acad_term_id,prediction_type,beats_percentage,multiplier,multiplier_type
AY202526T1,median,55,0.13934213313645252,theoretical
AY202526T1,median,56,0.15739920701901,empirical
AY202526T1,median,56,0.16754894838698,theoretical
AY202526T1,median,57,0.1834987290505055,empirical
AY202526T1,median,57,0.19594359339101525,theoretical
AY202526T1,median,58,0.20624043960183086,empirical
AY202526T1,median,58,0.22456014939418967,theoretical
AY202526T1,median,59,0.2332644446759331,empirical
AY202526T1,median,59,0.2534340506090085,theoretical
AY202526T1,median,60,0.2597728103706661,empirical
AY202526T1,median,60,0.2826023314985373,theoretical
AY202526T1,median,61,0.28852316928750377,empirical
AY202526T1,median,61,0.3121038984915736,theoretical
AY202526T1,median,62,0.3127225953382851,empirical
AY202526T1,median,62,0.341979831149252,theoretical
AY202526T1,median,63,0.34173450999799304,empirical
AY202526T1,median,63,0.37227371867704034,theoretical
AY202526T1,median,64,0.3684665260663193,empirical
AY202526T1,median,64,0.4030320387672363,theoretical
AY202526T1,median,65,0.39903366688509834,empirical
AY202526T1,median,65,0.4343045871206914,theoretical
AY202526T1,median,66,0.4287233355243544,empirical
AY202526T1,median,66,0.46614496770496866,theoretical
AY202526T1,median,67,0.45998976321281987,empirical
AY202526T1,median,67,0.49861115595484895,theoretical
AY202526T1,median,68,0.48827943446817806,empirical
AY202526T1,median,68,0.5317661498362254,theoretical
AY202526T1,median,69,0.5189186013571546,empirical
AY202526T1,median,69,0.565678727144323,theoretical
AY202526T1,median,70,0.5501590954642648,empirical
AY202526T1,median,70,0.6004243318180587,theoretical
AY202526T1,median,71,0.5854920494984506,empirical
AY202526T1,median,71,0.6360861177307379,theoretical
AY202526T1,median,72,0.6205318246569987,empirical
AY202526T1,median,72,0.6727561857824106,theoretical
AY202526T1,median,73,0.6584198208152416,empirical
AY202526T1,median,73,0.7105370597497445,theoretical
AY202526T1,median,74,0.6934052839021868,empirical
AY202526T1,median,74,0.7495434590527715,theoretical
AY202526T1,median,75,0.7319394803873268,empirical
AY202526T1,median,75,0.7899044435133751,theoretical
AY202526T1,median,76,0.773925415152822,empirical
AY202526T1,median,76,0.83176602793399,theoretical
AY202526T1,median,77,0.8172397244149251,empirical
AY202526T1,median,77,0.8752943952682768,theoretical
AY202526T1,median,78,0.8571439268121087,empirical
AY202526T1,median,78,0.9206798797356778,theoretical
AY202526T1,median,79,0.8926438122440482,empirical
AY202526T1,median,79,0.9681419505785388,theoretical
AY202526T1,median,80,0.940508522053622,empirical
AY202526T1,median,80,1.0179355110304433,theoretical
AY202526T1,median,81,0.9779204192541443,empirical
AY202526T1,median,81,1.0703589473935065,theoretical
AY202526T1,median,82,1.0248629157961544,empirical
AY202526T1,median,82,1.1257645386295276,theoretical
AY202526T1,median,83,1.0772412420667767,empirical
AY202526T1,median,83,1.1845720975310907,theoretical
AY202526T1,median,84,1.133239876493023,empirical
AY202526T1,median,84,1.2472871094651143,theoretical
AY202526T1,median,85,1.1965440419399045,empirical
AY202526T1,median,85,1.314525246396551,theoretical
AY202526T1,median,86,1.2666283540424033,empirical
AY202526T1,median,86,1.3870461050155845,theoretical
AY202526T1,median,87,1.337821777545279,empirical
AY202526T1,median,87,1.4658006026138621,theoretical
AY202526T1,median,88,1.4181342567366788,empirical
AY202526T1,median,88,1.5519991326566644,theoretical
AY202526T1,median,89,1.5092469252170362,empirical
AY202526T1,median,89,1.6472122370423137,theoretical
AY202526T1,median,90,1.5839599016266959,empirical
AY202526T1,median,90,1.7535240121391797,theoretical
AY202526T1,median,91,1.6785552810302853,empirical
AY202526T1,median,91,1.8737745909928365,theoretical
AY202526T1,median,92,1.7984489379045268,empirical
AY202526T1,median,92,2.011960556992218,theoretical
AY202526T1,median,93,1.9123056634413278,empirical
AY202526T1,median,93,2.1739322771406098,theoretical
AY202526T1,median,94,2.0741257195986074,empirical
AY202526T1,median,94,2.3686914858827413,theoretical
AY202526T1,median,95,2.2697343298203188,empirical
AY202526T1,median,95,2.6110199469539297,theoretical
AY202526T1,median,96,2.4768940711338097,empirical
AY202526T1,median,96,2.927445013054933,theoretical
AY202526T1,median,97,2.7717004623305868,empirical
AY202526T1,median,97,3.372142847591149,theoretical
AY202526T1,median,98,3.121473360881558,empirical
AY202526T1,median,98,4.081440556721614,theoretical
AY202526T1,median,99,3.7376589577653148,empirical
AY202526T1,median,99,5.574412044824551,theoretical
AY202526T1,min,1,-7.843444227696869,empirical
AY202526T1,min,1,-6.099299690443135,theoretical
AY202526T1,min,2,-5.8422580927222505,empirical
AY202526T1,min,2,-4.3757254943063675,theoretical
AY202526T1,min,3,-4.660377013799911,empirical
AY202526T1,min,3,-3.5750473256879434,theoretical
AY202526T1,min,4,-3.9483163969593984,empirical
AY202526T1,min,4,-3.0802463793254953,theoretical
AY202526T1,min,5,-3.4757401606083542,empirical
AY202526T1,min,5,-2.7319498712402086,theoretical
AY202526T1,min,6,-3.073915172927773,empirical
AY202526T1,min,6,-2.467513657675391,theoretical
AY202526T1,min,7,-2.840332191793159,empirical
AY202526T1,min,7,-2.256519986840886,theoretical
AY202526T1,min,8,-2.6094392139466924,empirical
AY202526T1,min,8,-2.082134936097813,theoretical
AY202526T1,min,9,-2.4453411830498335,empirical
AY202526T1,min,9,-1.9341665230308196,theoretical
AY202526T1,min,10,-2.2827631582439527,empirical
AY202526T1,min,10,-1.8060243225726738,theoretical
AY202526T1,min,11,-2.119277769601465,empirical
AY202526T1,min,11,-1.693226414179032,theoretical
AY202526T1,min,12,-2.003541611639081,empirical
AY202526T1,min,12,-1.5926006466806717,theoretical
AY202526T1,min,13,-1.864804421056177,empirical
AY202526T1,min,13,-1.5018278594389456,theoretical
AY202526T1,min,14,-1.7687731544384877,empirical
AY202526T1,min,14,-1.4191662817376303,theoretical
AY202526T1,min,15,-1.6897094452846682,empirical
AY202526T1,min,15,-1.3432777592862575,theoretical
AY202526T1,min,16,-1.5963748675020342,empirical
AY202526T1,min,16,-1.2731140683743942,theoretical
AY202526T1,min,17,-1.5031698474703319,empirical
AY202526T1,min,17,-1.207840170770921,theoretical
AY202526T1,min,18,-1.4238640171689845,empirical
AY202526T1,min,18,-1.146780987447246,theoretical
AY202526T1,min,19,-1.35377103348128,empirical
AY202526T1,min,19,-1.0893836052339356,theoretical
AY202526T1,min,20,-1.2816911684055807,empirical
AY202526T1,min,20,-1.0351898811842364,theoretical
AY202526T1,min,21,-1.2075399504404511,empirical
AY202526T1,min,21,-0.983816216914783,theoretical
AY202526T1,min,22,-1.129419479788113,empirical
AY202526T1,min,22,-0.9349383802103377,theoretical
AY202526T1,min,23,-1.0609372117068943,empirical
AY202526T1,min,23,-0.8882799457296521,theoretical
AY202526T1,min,24,-1.0043048945936717,empirical
AY202526T1,min,24,-0.8436033741330274,theoretical
AY202526T1,min,25,-0.9415839080061731,empirical
AY202526T1,min,25,-0.8007030437250294,theoretical
AY202526T1,min,26,-0.8908128534294227,empirical
AY202526T1,min,26,-0.7593997468117388,theoretical
AY202526T1,min,27,-0.8331360717427267,empirical
AY202526T1,min,27,-0.7195362985531983,theoretical
AY202526T1,min,28,-0.7813359638156416,empirical
AY202526T1,min,28,-0.6809740004319277,theoretical
AY202526T1,min,29,-0.7384930057002158,empirical
AY202526T1,min,29,-0.6435897671048842,theoretical
AY202526T1,min,30,-0.6791079403618762,empirical
AY202526T1,min,30,-0.6072737731490454,theoretical
AY202526T1,min,31,-0.6265516134393835,empirical
AY202526T1,min,31,-0.571927510853362,theoretical
AY202526T1,min,32,-0.5811278162630014,empirical
AY202526T1,min,32,-0.537462175646846,theoretical
AY202526T1,min,33,-0.5319485836748157,empirical
AY202526T1,min,33,-0.5037973146363789,theoretical
AY202526T1,min,34,-0.4847005729478383,empirical
AY202526T1,min,34,-0.4708596878904814,theoretical
AY202526T1,min,35,-0.4432044645120672,empirical
AY202526T1,min,35,-0.4385823028279881,theoretical
AY202526T1,min,36,-0.4047476941601761,empirical
AY202526T1,min,36,-0.40690359026065165,theoretical
AY202526T1,min,37,-0.36833807293368104,empirical
AY202526T1,min,37,-0.3757666969454697,theoretical
AY202526T1,min,38,-0.33117872393750286,empirical
AY202526T1,min,38,-0.3451188743957605,theoretical
AY202526T1,min,39,-0.2933562652696289,empirical
AY202526T1,min,39,-0.31491094752291243,theoretical
AY202526T1,min,40,-0.2563197292464713,empirical
AY202526T1,min,40,-0.28509684968612875,theoretical
AY202526T1,min,41,-0.21707380046317667,empirical
AY202526T1,min,41,-0.25563321310344933,theoretical
AY202526T1,min,42,-0.18583352528605077,empirical
AY202526T1,min,42,-0.22647900546464733,theoretical
AY202526T1,min,43,-0.15343725558820664,empirical
AY202526T1,min,43,-0.19759520509152492,theoretical
AY202526T1,min,44,-0.12501182297990215,empirical
AY202526T1,min,44,-0.16894450819428758,theoretical
AY202526T1,min,45,-0.09648543182826126,empirical
AY202526T1,min,45,-0.14049106273561565,theoretical
AY202526T1,min,46,-0.07303254656071434,empirical
AY202526T1,min,46,-0.1122002241838732,theoretical
AY202526T1,min,47,-0.05059414639104992,empirical
AY202526T1,min,47,-0.08403832904978192,theoretical
AY202526T1,min,48,-0.023092562154877178,empirical
AY202526T1,min,48,-0.05597248258456583,theoretical
AY202526T1,min,49,0.0007659920332059685,empirical
AY202526T1,min,49,-0.027970357393207263,theoretical
AY202526T1,min,50,0.023795429040448943,empirical
AY202526T1,min,50,7.144087972300425e-17,theoretical
AY202526T1,min,51,0.05128708084799743,empirical
