SelectedClassNumber,SelectedAcadTerm,Term,Course Code,Section,Description,Grading Basis,class1_day,class1_starttime,class1_venue,class2_day,class2_starttime,class2_venue,class3_day,class3_starttime,class3_venue,exam_startdate,exam_day,exam_starttime,OriginalTerm,StdTerm,key,isDropped,BossLink
2365,2310,2023-24 August Term,ACCT647,G1,Accounting,Graded,Thu,08:15,YPHSL Seminar Room B2-01,,,,,,,10-Nov-2023,Fri,19:30,2023-24 August Term,,ACCT647_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2365
2366,2310,2023-24 August Term,ACCT647,G2,Accounting,Graded,Wed,15:30,YPHSL Seminar Room B2-01,,,,,,,10-Nov-2023,Fri,19:30,2023-24 August Term,,ACCT647_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2366
2367,2310,2023-24 August Term,ECON672,G1,Global Economics,Graded,Thu,15:30,YPHSL Seminar Room B2-01,,,,,,,09-Nov-2023,Thu,19:30,2023-24 August Term,,ECON672_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2367
2368,2310,2023-24 August Term,ECON672,G2,Global Economics,Graded,Thu,19:00,YPHSL Seminar Room B2-01,,,,,,,09-Nov-2023,Thu,19:30,2023-24 August Term,,ECON672_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2368
2369,2310,2023-24 August Term,MGMT672,G1,Strategy,Graded,Tue,12:00,YPHSL Seminar Room B2-01,,,,,,,06-Nov-2023,Mon,19:30,2023-24 August Term,,MGMT672_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2369
2370,2310,2023-24 August Term,MGMT672,G2,Strategy,Graded,Tue,15:30,YPHSL Seminar Room B2-01,,,,,,,06-Nov-2023,Mon,19:30,2023-24 August Term,,MGMT672_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2370
2371,2310,2023-24 August Term,MKTG618,G1,Marketing,Graded,Mon,15:30,YPHSL Seminar Room B2-01,,,,,,,11-Nov-2023,Sat,08:30,2023-24 August Term,,MKTG618_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2371
2372,2310,2023-24 August Term,MKTG618,G2,Marketing,Graded,Wed,08:15,YPHSL Seminar Room B2-01,,,,,,,11-Nov-2023,Sat,08:30,2023-24 August Term,,MKTG618_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2372
2374,2310,2023-24 August Term,MGMT672,G12,Strategy,Graded,Mon,19:00,,Mon,19:00,,Mon,19:00,,06-Nov-2023,Mon,19:30,2023-24 August Term,,MGMT672_G12_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2374
2377,2310,2023-24 August Term,OPIM632,G5,Sustainable Operations,Graded,Wed,12:00,YPHSL Seminar Room B2-01,,,,,,,10-Nov-2023,Fri,08:30,2023-24 August Term,,OPIM632_G5_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2377
2390,2310,2023-24 August Term,MKTG641,G5,Marketing for a Sustainable World,Graded,Thu,15:30,YPHSL Seminar Room B1-01,,,,,,,,,,2023-24 August Term,,MKTG641_G5_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2390
2393,2310,2023-24 Term 1,ACM301,G1,Cultural Policy and Practice,Graded,Thu,15:30,SMUC Active Learning CR 4-1,,,,,,,,,,2023-24 Term 1,,ACM301_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2393
2394,2310,2023-24 Term 1,GA304,G1,"Special Topics in Asian Politics, Economics, and Law",Graded,,,,,,,,,,,,,2023-24 Term 1,,GA304_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2394
2396,2310,2023-24 Term 1,PSYC212,G1,Psychology of Sustainability,Graded,Fri,08:15,SOSS/CIS Seminar Room 1-1,,,,,,,28-Nov-2023,Tue,13:00,2023-24 Term 1,,PSYC212_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2396
2400,2310,2023-24 Term 1,COR2226,G1,"Information Technology Policy, Law and Regulations",Graded,Mon,15:30,YPHSL Seminar Room 3-02,,,,,,,23-Nov-2023,Thu,13:00,2023-24 Term 1,,COR2226_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2400
2411,2310,2023-24 Term 1,MKTG215,G2,New Product Development,Graded,,,,,,,,,,,,,2023-24 Term 1,,MKTG215_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2411
2415,2310,2023-24 Term 1,CS201,G5,Data Structures and Algorithms,Graded,Thu,12:00,SCIS1 Seminar Room 2-4,,,,,,,27-Nov-2023,Mon,13:00,2023-24 Term 1,,CS201_G5_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2415
2432,2310,2023-24 Term 1,COR3001,G49,Big Questions,Graded,Fri,12:00,PSR Classroom 1-1,,,,,,,,,,2023-24 Term 1,,COR3001_G49_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2432
2433,2310,2023-24 Term 1,COR3001,G48,Big Questions,Graded,Wed,12:00,PSR Classroom 1-1,,,,,,,,,,2023-24 Term 1,,COR3001_G48_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2433
2449,2310,2023-24 Term 1,CS460,G2,Foundations of Cyber-Physical Systems,Graded,Tue,19:00,SCIS1 Seminar Room 3-4,,,,,,,23-Nov-2023,Thu,08:30,2023-24 Term 1,,CS460_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2449
2453,2310,2023-24 Term 1,IS462,G2,Virtual Reality for Business,Graded,,,,,,,,,,,,,2023-24 Term 1,,IS462_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2453
2473,2310,2023-24 Term 1,IS483,G7,IS/SMT/C&L Project Experience (Applications),Graded,,,,,,,,,,,,,2023-24 Term 1,,IS483_G7_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2473
2474,2310,2023-24 Term 1,ACCT416,G1,Advanced Audit & Assurance,Graded,,,,,,,,,,,,,2023-24 Term 1,,ACCT416_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2474
2478,2310,2023-24 Term 1,ACCT101,G69,Financial Accounting,Graded,,,,,,,,,,,,,2023-24 Term 1,,ACCT101_G69_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2478
2481,2310,2023-24 August Term,LAW649,G1,Blockchain and Governance,Graded,Tue,12:00,YPHSL Seminar Room 2-02,,,,,,,07-Nov-2023,Tue,13:00,2023-24 August Term,,LAW649_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2481
2482,2310,2023-24 Term 1,ACCT611,G1,Financial Accounting,Graded,Mon,12:00,SOA Seminar Room 2-2,,,,,,,27-Nov-2023,Mon,19:00,2023-24 Term 1,,ACCT611_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2482
2483,2310,2023-24 Term 1,ACCT611,G2,Financial Accounting,Graded,Mon,19:00,SOA Seminar Room 2-2,,,,,,,27-Nov-2023,Mon,19:00,2023-24 Term 1,,ACCT611_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2483
2484,2310,2023-24 Term 1,ACCT665,G1,Data Modelling and Visualisation,Graded,Tue,12:00,SOA Seminar Room 2-2,,,,,,,28-Nov-2023,Tue,19:00,2023-24 Term 1,,ACCT665_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2484
2485,2310,2023-24 Term 1,ACCT665,G2,Data Modelling and Visualisation,Graded,Tue,19:00,SOA Seminar Room 2-2,,,,,,,28-Nov-2023,Tue,19:00,2023-24 Term 1,,ACCT665_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2485
2486,2310,2023-24 Term 1,ACCT616,G2,Management Accounting,Graded,Wed,12:00,SOA Seminar Room 2-2,,,,,,,29-Nov-2023,Wed,19:00,2023-24 Term 1,,ACCT616_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2486
2487,2310,2023-24 Term 1,ACCT616,G1,Management Accounting,Graded,Wed,19:00,SOA Seminar Room 2-2,,,,,,,29-Nov-2023,Wed,19:00,2023-24 Term 1,,ACCT616_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2487
2488,2310,2023-24 Term 1,MGMT656,G2,Management & Strategy,Graded,Thu,12:00,SOA Seminar Room 2-2,,,,,,,30-Nov-2023,Thu,19:00,2023-24 Term 1,,MGMT656_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2488
2489,2310,2023-24 Term 1,MGMT656,G1,Management & Strategy,Graded,Thu,19:00,SOA Seminar Room 2-2,,,,,,,30-Nov-2023,Thu,19:00,2023-24 Term 1,,MGMT656_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2489
2490,2310,2023-24 Term 1,ACCT682,G1,Programming for Business Analytics,Graded,Fri,19:00,SOA Seminar Room 2-2,,,,,,,,,,2023-24 Term 1,,ACCT682_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2490
2492,2310,2023-24 Term 1,MKTG102,G4,Consumer Behaviour,Graded,Thu,19:00,LKCSB Seminar Room 3-10,,,,,,,01-Dec-2023,Fri,14:30,2023-24 Term 1,,MKTG102_G4_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2492
2493,2310,2023-24 August Term,MGMT6009,G1,Strategic Management,Graded,Wed,08:15,LKCSB Seminar Room 3-8,,,,,,,08-Nov-2023,Wed,08:30,2023-24 August Term,,MGMT6009_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2493
2499,2310,2023-24 August Term,COMM611,G1,Leadership Communication,Graded,Tue,19:00,LKCSB Seminar Room 3-4,,,,,,,,,,2023-24 August Term,,COMM611_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2499
2500,2310,2023-24 Term 1,LAW4056,G1,Civil Litigation Pre-trial Advocacy,Graded,Mon,08:15,YPHSL Seminar Room 3-11,,,,,,,30-Nov-2023,Thu,13:00,2023-24 Term 1,,LAW4056_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2500
2501,2310,2023-24 Term 1,LAW4056,G61,Civil Litigation Pre-trial Advocacy,Graded,Mon,08:15,YPHSL Seminar Room 3-11,,,,,,,30-Nov-2023,Thu,13:00,2023-24 Term 1,,LAW4056_G61_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2501
2502,2310,2023-24 August Term,FNCE6058,G1,Capstone Project,Pass/Fail,Wed,19:00,LKCSB Seminar Room 1-2,,,,,,,,,,2023-24 August Term,,FNCE6058_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2502
2504,2310,2023-24 Term 1,MGMT732,G1,Academic Writing Workshop,Pass/Fail, ,TBA,,,,,,,,,,,2023-24 Term 1,,MGMT732_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2504
2505,2310,2023-24 Term 1,MGMT738,G1,Statistical Techniques,Pass/Fail, ,TBA,,,,,,,,,,,2023-24 Term 1,,MGMT738_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2505
2506,2310,2023-24 Term 1,MKTG713,G1,"Measurement, Questionnaire Design and Data Analysis",Pass/Fail, ,TBA,,,,,,,,,,,2023-24 Term 1,,MKTG713_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2506
